ticker,as_of,close,market_cap,volume,trading_value,avg_trading_value_20d,high_52w,low_52w,return_6m,volatility_1y,beta_kospi200
003570,2026-07-28,31600.0,1050785225200.0,53131,1678939600.0,2107613743.75,74600.0,31600.0,-0.4104,62.01,
003670,2026-07-28,132900.0,11820952638000.0,224077,29779833300.0,44031731725.0,296000.0,129600.0,-0.3517,71.02,
003690,2026-07-28,13600.0,2403406021600.0,448890,6104904000.0,4146098454.75,14540.0,10290.0,0.2121,35.43,
003850,2026-07-28,7970.0,683724039790.0,103698,826473060.0,869056255.0,10680.0,7920.0,-0.1154,38.27,
004000,2026-07-28,44550.0,1149390000000.0,45832,2041815600.0,2741957537.5,71200.0,40350.0,-0.0022,44.79,
004020,2026-07-28,25800.0,3442901253000.0,446530,11520474000.0,14030981947.5,46500.0,25250.0,-0.1848,60.34,
004170,2026-07-28,465500.0,4396731755500.0,130392,60697476000.0,51467935900.0,776000.0,161200.0,0.6478,62.86,
004370,2026-07-28,377000.0,2293156034000.0,40165,15142205000.0,8426009350.0,522000.0,329500.0,-0.0927,37.21,
004490,2026-07-28,49600.0,687456000000.0,39387,1953595200.0,2167617205.0,74400.0,49250.0,-0.2164,39.76,
004800,2026-07-28,139300.0,2331938695100.0,28611,3985512300.0,4426194832.5,276000.0,76800.0,-0.1261,77.31,
004990,2026-07-28,22650.0,2257384526400.0,113301,2566267650.0,3674702217.5,38600.0,22200.0,-0.2256,46.14,
005070,2026-07-28,31300.0,1039616072300.0,131289,4109345700.0,4858251388.75,65500.0,31300.0,-0.3218,72.7,
005090,2026-07-28,39850.0,574211920050.0,282114,11242242900.0,5701776658.75,68600.0,20500.0,0.9113,84.26,
005180,2026-07-28,66600.0,617317464600.0,24264,1615982400.0,1368653710.0,88200.0,61900.0,-0.1328,31.77,
005290,2026-07-28,36500.0,1860409599000.0,470205,17162482500.0,22543457176.25,66000.0,28000.0,-0.0748,73.7,
005300,2026-07-28,99700.0,925104734800.0,13414,1337375800.0,1844182790.0,148200.0,95900.0,-0.2343,34.05,
005380,2026-07-28,364000.0,74531826824000.0,898415,327023060000.0,402020493003.25,750000.0,206500.0,-0.2401,65.86,
005385,2026-07-28,181600.0,4238718336000.0,141217,25645007200.0,21152891112.5,321500.0,158900.0,-0.3606,52.48,
005387,2026-07-28,182200.0,6370428046000.0,210638,38378243600.0,33026624492.8,323500.0,162000.0,-0.375,52.81,
005440,2026-07-28,11720.0,2149415172280.0,366581,4296329320.0,3900301711.25,18750.0,7290.0,0.3708,61.33,
005490,2026-07-28,299000.0,23693216573000.0,367586,109908214000.0,95189038987.5,535000.0,263000.0,-0.1636,50.65,
005690,2026-07-28,9770.0,586239216780.0,629567,6150869590.0,7078552673.0,20250.0,9770.0,-0.2559,77.53,
005830,2026-07-28,159000.0,10414555491000.0,237504,37763136000.0,36080363050.0,205500.0,119300.0,0.2335,43.19,
005850,2026-07-28,51600.0,2396743632000.0,63661,3284907600.0,5897452358.9,76200.0,31650.0,0.0341,70.39,
005930,2026-07-28,220000.0,1286181293760000.0,40359563,8879103860000.0,7808425403917.75,362500.0,64700.0,0.5152,66.59,
005935,2026-07-28,158200.0,126935124314600.0,4138740,654748668000.0,764042234535.4,235000.0,53900.0,0.4771,62.98,
005940,2026-07-28,27500.0,10153167887500.0,938493,25808557500.0,22644091015.0,39200.0,18660.0,0.2009,57.28,
006040,2026-07-28,34950.0,1542721624050.0,39871,1393491450.0,1750607126.25,50000.0,30050.0,-0.1568,40.14,
006120,2026-07-28,49750.0,866334112250.0,40696,2024626000.0,2283824122.5,68200.0,43100.0,-0.2027,52.4,
006260,2026-07-28,268000.0,8361600000000.0,147308,39478544000.0,53065803875.0,553000.0,150800.0,0.2072,72.79,
006280,2026-07-28,120600.0,1409396482800.0,19206,2316243600.0,5078629597.5,180300.0,117900.0,-0.2391,45.25,
006340,2026-07-28,13600.0,1066436057600.0,14059486,191209009600.0,205854086131.5,18040.0,2770.0,2.6026,107.12,
006360,2026-07-28,25500.0,2182327995000.0,2562543,65344846500.0,88622197586.25,43100.0,18070.0,0.3557,78.93,
006380,2026-07-28,3660.0,618539985360.0,0,0.0,0.0,3660.0,3660.0,0.0,0.0,
006400,2026-07-28,382000.0,30783672460000.0,468562,178990684000.0,213183501012.5,712000.0,176100.0,0.1718,71.56,
006650,2026-07-28,91400.0,594100000000.0,23797,2175045800.0,2483364855.0,190700.0,91400.0,-0.4175,70.72,
006730,2026-07-28,9510.0,611273537730.0,328407,3123150570.0,5318161713.0,18580.0,8350.0,-0.3178,64.36,
006800,2026-07-28,33050.0,18493685384000.0,1859322,61450592100.0,82126555708.75,83800.0,17713.0,0.0812,82.96,
00680K,2026-07-28,10610.0,1448265000000.0,362398,3845042780.0,6864474330.0,23800.0,7632.0,-0.1544,72.24,
007070,2026-07-28,24500.0,2048381667500.0,164109,4020670500.0,4435745695.0,29450.0,15700.0,0.1611,43.4,
007310,2026-07-28,316000.0,1266474280000.0,6484,2048944000.0,1535641500.0,433000.0,295000.0,-0.1856,24.38,
007340,2026-07-28,36650.0,2144423202250.0,126906,4651104900.0,6970994106.25,51200.0,22100.0,0.466,63.86,
007390,2026-07-28,23250.0,1498115052000.0,286897,6670355250.0,10994880705.0,37800.0,16900.0,0.1567,97.17,
007660,2026-07-28,71400.0,5241418236600.0,934493,66722800200.0,111817426150.0,161400.0,55300.0,-0.3653,85.74,
007810,2026-07-28,47300.0,1134377926000.0,262694,12425426200.0,22272925152.5,141900.0,11290.0,-0.2156,99.08,
008770,2026-07-28,46400.0,1821112814400.0,175098,8124547200.0,12767270261.8,69400.0,40400.0,0.0022,46.49,
008930,2026-07-28,33950.0,2321893122500.0,137128,4655495600.0,7042499166.25,51900.0,26100.0,-0.1597,53.98,
009150,2026-07-28,1114000.0,83208777344000.0,929816,1035815024000.0,1504500174186.4,2270000.0,134500.0,2.9504,82.74,
009155,2026-07-28,387500.0,1126456300000.0,44178,17118975000.0,35371995287.5,954000.0,61900.0,2.12,90.34,
