exit_ticker,exit_name,candidate_ticker,candidate_name,rank,reason
192400,쿠쿠홀딩스,000660,SK하이닉스,1,replace_in for 192400
002380,KCC,006040,동원산업,2,replace_in for 002380
453340,현대그린푸드,036530,SNT홀딩스,3,replace_in for 453340
