ticker,name,sector,gate_pass,gate_fail_reason,score_q,score_v,score_sr,score_r,score_m,composite_raw,composite_score,incumbent_bonus,grade,role_suggested,tier,satellite_track,is_held,data_gate,sleeve_weight_suggested,portfolio_weight_suggested,as_of,rank,reason
001450,현대해상,손해보험,True,,50.83,83.48,50.0,34.58,89.64,65.31,65.31,0.0,B,value_defensive,Satellite,True,False,YELLOW,3.46,,2026-07-28,1,Q51 V83 SR50 tier=Satellite
078930,GS,지주/에너지,True,,50.83,81.67,50.0,35.47,87.85,64.59,64.59,0.0,B,value_defensive,Satellite,True,False,YELLOW,3.43,,2026-07-28,2,Q51 V82 SR50 tier=Satellite
271560,오리온,consumer,True,,75.47,52.16,48.5,52.89,75.81,64.59,64.59,0.0,B,quality_defensive,Satellite,True,False,GREEN,3.43,,2026-07-28,3,Q75 V52 SR48 tier=Satellite
003690,코리안리,생명/손해보험,True,,50.83,75.94,50.0,49.31,86.56,64.51,64.51,0.0,B,value_defensive,Satellite,True,False,YELLOW,3.42,,2026-07-28,4,Q51 V76 SR50 tier=Satellite
089860,롯데렌탈,일반서비스,True,,50.83,71.81,50.0,41.0,91.15,64.0,64.0,0.0,B,value_defensive,Satellite,True,False,YELLOW,3.4,,2026-07-28,5,Q51 V72 SR50 tier=Satellite
006040,동원산업,consumer,True,,60.39,76.89,66.25,25.47,26.55,63.31,63.31,0.0,B,dividend_value,Core,False,False,GREEN,4.0,,2026-07-28,6,Q60 V77 SR66 tier=Core
055550,신한지주,은행/금융지주,True,,50.83,70.22,50.0,47.01,85.79,62.94,62.94,0.0,B,value_defensive,Satellite,True,False,YELLOW,3.35,,2026-07-28,7,Q51 V70 SR50 tier=Satellite
086790,하나금융지주,은행/금융지주,True,,50.83,75.11,50.0,41.67,81.66,62.35,62.35,0.0,B,value_defensive,Satellite,True,False,YELLOW,3.33,,2026-07-28,8,Q51 V75 SR50 tier=Satellite
001800,오리온홀딩스,기타금융,True,,50.83,70.72,50.0,37.91,80.05,60.7,60.7,0.0,B,value_defensive,Satellite,True,False,YELLOW,3.25,,2026-07-28,9,Q51 V71 SR50 tier=Satellite
105560,KB금융,은행/금융지주,True,,50.83,68.3,50.0,39.01,80.2,60.36,60.36,0.0,B,value_defensive,Satellite,True,False,YELLOW,3.24,,2026-07-28,10,Q51 V68 SR50 tier=Satellite
