ticker,name,sector,gate_pass,gate_fail_reason,score_q,score_v,score_sr,score_r,score_m,composite_raw,composite_score,incumbent_bonus,grade,role_suggested,tier,satellite_track,is_held,data_gate,sleeve_weight_suggested,portfolio_weight_suggested,as_of
127120,제이에스링크,일반서비스,True,,50.83,31.53,50.0,26.13,54.14,42.36,42.36,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
458870,씨어스,의료·정밀기기,True,,50.83,15.85,50.0,19.03,5.26,36.95,36.95,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
003570,SNT다이내믹스,운송장비·부품,True,,50.83,68.34,50.0,10.46,7.52,51.84,51.84,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
066575,LG전자우,전기·전자,True,,50.83,50.0,50.0,17.72,43.46,47.06,47.06,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
195940,HK이노엔,제약,True,,50.83,66.74,50.0,12.63,23.01,51.58,51.58,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
003380,하림지주,금융,True,,50.83,90.04,50.0,15.65,26.17,58.87,58.87,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
166090,하나머티리얼즈,전기·전자,True,,50.83,45.73,50.0,25.65,38.5,46.57,46.57,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
000080,하이트진로,음식료·담배,True,,50.83,54.66,50.0,54.44,27.84,52.13,52.13,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
300720,한일시멘트,비금속,True,,50.83,72.76,50.0,27.74,23.16,54.89,54.89,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
031330,에스에이엠티,유통,True,,50.83,54.03,50.0,22.13,57.59,48.71,48.71,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
323280,태성,기계·장비,True,,50.83,35.98,50.0,13.02,12.33,42.39,42.39,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
003090,대웅,제약,True,,50.83,85.06,50.0,12.49,17.59,57.06,57.06,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
036540,SFA반도체,전기·전자,True,,50.83,49.67,50.0,16.71,30.68,46.86,46.86,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
000210,DL,화학,True,,50.83,70.47,50.0,18.64,49.62,53.3,53.3,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
003240,태광산업,화학,True,,50.83,85.56,50.0,15.82,44.96,57.54,57.54,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
077970,STX엔진,기계·장비,True,,50.83,54.25,50.0,11.91,7.97,47.76,47.76,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
003530,한화투자증권,증권,True,,50.83,78.69,50.0,10.0,22.86,54.9,54.9,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
185750,종근당,제약,True,,50.83,69.66,50.0,31.86,20.6,54.37,54.37,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
280360,롯데웰푸드,음식료·담배,True,,50.83,76.67,50.0,40.13,41.92,57.3,57.3,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
005300,롯데칠성,음식료·담배,True,,50.83,61.23,50.0,30.56,17.89,51.72,51.72,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
034230,파라다이스,오락·문화,True,,50.83,78.75,50.0,10.94,5.56,55.01,55.01,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
475830,오름테라퓨틱,제약,True,,50.83,37.65,50.0,16.04,1.35,43.19,43.19,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
006120,SK디스커버리,기타금융,True,,50.83,86.06,50.0,19.08,28.9,58.02,58.02,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
195870,해성디에스,전기·전자,True,,50.83,43.36,50.0,20.15,33.38,45.31,45.31,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
009450,경동나비엔,전기·전자,True,,50.83,68.35,50.0,17.18,43.16,52.51,52.51,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
